sep=,
Value,StartIndex,EndIndex,Text,Color
396.800 ns,286173,286483,,Purple
797.440 ns,286483,287106,,Green
798.720 ns,287106,287730,,Purple
798.720 ns,287730,288354,,Green
798.720 ns,288354,288978,,Purple
792.320 ns,288978,289597,,Green
797.440 ns,289597,290220,,Purple
798.720 ns,290220,290844,,Green
798.720 ns,290844,291468,,Purple
792.320 ns,291468,292087,,Green
797.440 ns,292087,292710,,Purple
403.200 ns,292710,293025,,Green
395.520 ns,293025,293334,,Purple
798.720 ns,293334,293958,,Green
395.520 ns,293958,294267,,Purple
403.200 ns,294267,294582,,Green
791.040 ns,294582,295200,,Purple
798.720 ns,295200,295824,,Green
401.920 ns,295824,296138,,Purple
396.800 ns,296138,296448,,Green
798.720 ns,296448,297072,,Purple
395.520 ns,297072,297381,,Green
396.800 ns,297381,297691,,Purple
797.440 ns,297691,298314,,Green
403.200 ns,298314,298629,,Purple
395.520 ns,298629,298938,,Green
395.520 ns,298938,299247,,Purple
403.200 ns,299247,299562,,Green
797.440 ns,299562,300185,,Purple
396.800 ns,300185,300495,,Green
395.520 ns,300495,300804,,Purple
403.200 ns,300804,301119,,Green
395.520 ns,301119,301428,,Purple
798.720 ns,301428,302052,,Green
395.520 ns,302052,302361,,Purple
403.200 ns,302361,302676,,Green
791.040 ns,302676,303294,,Purple
798.720 ns,303294,303918,,Green
401.920 ns,303918,304232,,Purple
396.800 ns,304232,304542,,Green
798.720 ns,304542,305166,,Purple
797.440 ns,305166,305789,,Green
792.320 ns,305789,306408,,Purple
403.200 ns,306408,306723,,Green
395.520 ns,306723,307032,,Purple
401.920 ns,307032,307346,,Green
396.800 ns,307346,307656,,Purple
395.520 ns,307656,307965,,Green
401.920 ns,307965,308279,,Purple
792.320 ns,308279,308898,,Green
403.200 ns,308898,309213,,Purple
395.520 ns,309213,309522,,Green
798.720 ns,309522,310146,,Purple
395.520 ns,310146,310455,,Green
403.200 ns,310455,310770,,Purple
797.440 ns,310770,311393,,Green
